function,Accuracy,RMSE,F1,F1 neg,tnr,fpr,fnr,tpr,tn,fp,fn,tp,split,home,direction
OR (ai),0.424,0.7589,0.446,0.4002,0.959,0.0414,0.71,0.29,996,43,2943,1202,0.5,H3,normal
OR (ai),0.5025,0.7054,0.5184,0.4854,0.993,0.00691,0.649,0.351,1149,8,2428,1311,0.5,H3,reverse
OR (ai),0.4102,0.768,0.4413,0.3755,0.946,0.0542,0.713,0.287,715,41,2337,939,0.6,H3,normal
OR (ai),0.4967,0.7094,0.5084,0.4844,0.993,0.00694,0.658,0.342,1430,10,3034,1574,0.6,H3,reverse
OR (ai),0.411,0.7675,0.4521,0.3631,0.928,0.0716,0.703,0.297,532,41,1825,770,0.7,H3,normal
OR (ai),0.4855,0.7173,0.495,0.4757,0.994,0.00616,0.67,0.33,1613,10,3546,1743,0.7,H3,reverse
OR (ai),0.4534,0.7393,0.4614,0.4451,0.929,0.0714,0.694,0.306,442,34,1068,472,0.8,H3,normal
OR (ai),0.4643,0.7319,0.4858,0.4408,0.99,0.00988,0.678,0.322,1703,17,4303,2041,0.8,H3,reverse
Nonparametric,0.7376,0.5123,0.849,0.0,0.0,1.0,0.0,1.0,0,2116,0,5948,0.2,H3,normal
Nonparametric,0.8438,0.3953,0.9129,0.241,0.625,0.375,0.147,0.853,50,30,285,1651,0.2,H3,reverse
Nonparametric,0.7319,0.5177,0.8439,0.05113,0.0267,0.973,0.00628,0.994,52,1897,33,5218,0.3,H3,normal
Nonparametric,0.8608,0.3731,0.919,0.5031,0.822,0.178,0.136,0.864,203,44,357,2276,0.3,H3,reverse
Nonparametric,0.7437,0.5062,0.8517,0.05718,0.03,0.97,0.00625,0.994,47,1522,28,4451,0.4,H3,normal
Nonparametric,0.8063,0.4401,0.8841,0.4115,0.435,0.565,0.125,0.875,273,354,427,2978,0.4,H3,reverse
Nonparametric,0.8057,0.4407,0.8882,0.2601,0.17,0.83,0.035,0.965,177,862,145,4000,0.5,H3,normal
Nonparametric,0.7486,0.5014,0.8461,0.3142,0.244,0.756,0.0952,0.905,282,875,356,3383,0.5,H3,reverse
Nonparametric,0.813,0.4324,0.8896,0.39,0.319,0.681,0.073,0.927,241,515,239,3037,0.6,H3,normal
Nonparametric,0.7657,0.484,0.863,0.1926,0.117,0.883,0.0317,0.968,169,1271,146,4462,0.6,H3,reverse
Nonparametric,0.8046,0.442,0.8839,0.3841,0.337,0.663,0.0921,0.908,193,380,239,2356,0.7,H3,normal
Nonparametric,0.7716,0.478,0.8669,0.194,0.117,0.883,0.0276,0.972,190,1433,146,5143,0.7,H3,reverse
Nonparametric,0.7718,0.4777,0.8669,0.2014,0.122,0.878,0.0273,0.973,58,418,42,1498,0.8,H3,normal
Nonparametric,0.7646,0.4851,0.8518,0.4283,0.413,0.587,0.14,0.86,711,1009,889,5455,0.8,H3,reverse
AR predictions (aie),0.7376,0.5123,0.849,0.0,0.0,1.0,0.0,1.0,0,2116,0,5948,0.2,H3,normal
AR predictions (aie),0.9355,0.2539,0.9664,0.1975,0.2,0.8,0.0341,0.966,16,64,66,1870,0.2,H3,reverse
AR predictions (aie),0.7293,0.5203,0.8435,0.0,0.0,1.0,0.0,1.0,0,1949,0,5251,0.3,H3,normal
AR predictions (aie),0.9299,0.2648,0.9621,0.5302,0.462,0.538,0.0262,0.974,114,133,69,2564,0.3,H3,reverse
AR predictions (aie),0.7877,0.4608,0.8746,0.3074,0.182,0.818,0.0,1.0,285,1284,0,4479,0.4,H3,normal
AR predictions (aie),0.9142,0.2929,0.9505,0.6772,0.579,0.421,0.0241,0.976,363,264,82,3323,0.4,H3,reverse
AR predictions (aie),0.7996,0.4477,0.8886,0.0,0.0,1.0,0.0,1.0,0,1039,0,4145,0.5,H3,normal
AR predictions (aie),0.8533,0.3829,0.9093,0.6165,0.499,0.501,0.0369,0.963,577,580,138,3601,0.5,H3,reverse
AR predictions (aie),0.8346,0.4067,0.9074,0.2271,0.13,0.87,0.00275,0.997,98,658,9,3267,0.6,H3,normal
AR predictions (aie),0.8565,0.3788,0.9123,0.6051,0.462,0.538,0.0202,0.98,665,775,93,4515,0.6,H3,reverse
AR predictions (aie),0.8605,0.3735,0.9211,0.3962,0.253,0.747,0.00539,0.995,145,428,14,2581,0.7,H3,normal
AR predictions (aie),0.8589,0.3756,0.9146,0.5949,0.441,0.559,0.0129,0.987,716,907,68,5221,0.7,H3,reverse
AR predictions (aie),0.8358,0.4052,0.9022,0.4884,0.332,0.668,0.00844,0.992,158,318,13,1527,0.8,H3,normal
AR predictions (aie),0.8682,0.3631,0.9212,0.5963,0.456,0.544,0.0202,0.98,785,935,128,6216,0.8,H3,reverse
ground truth AR,0.9421,0.2406,0.9653,0.8261,0.833,0.167,0.0364,0.964,475,95,105,2781,0.2,H5,normal
ground truth AR,0.9815,0.1361,0.9793,0.9833,0.975,0.0249,0.0105,0.99,470,12,4,378,0.2,H5,reverse
ground truth AR,0.9517,0.2198,0.9716,0.8374,0.824,0.176,0.0257,0.974,394,84,69,2621,0.3,H5,normal
ground truth AR,0.9696,0.1743,0.9702,0.9691,0.955,0.0453,0.0156,0.984,548,26,9,569,0.3,H5,reverse
ground truth AR,0.9618,0.1954,0.9785,0.8313,0.822,0.178,0.02,0.98,244,53,46,2249,0.4,H5,normal
ground truth AR,0.9508,0.2218,0.9571,0.9424,0.921,0.0795,0.0257,0.974,695,60,25,948,0.4,H5,reverse
ground truth AR,0.9648,0.1875,0.9801,0.8492,0.841,0.159,0.0187,0.981,228,43,38,1995,0.5,H5,normal
ground truth AR,0.9509,0.2216,0.9605,0.9352,0.914,0.0858,0.0259,0.974,714,67,32,1203,0.5,H5,reverse
ground truth AR,0.9688,0.1768,0.9825,0.8556,0.838,0.162,0.015,0.985,160,31,23,1514,0.6,H5,normal
